actor_role,actor_id,branch,cases,median_work_h,median_queue_h
ANDERRAYTER,STF-00043,BR-005,215,3.941,27.741
ANDERRAYTER,STF-00029,BR-001,221,3.421,24.485
ANDERRAYTER,STF-00028,BR-001,191,2.814,23.708
ANDERRAYTER,STF-00040,BR-004,204,2.527,26.913
ANDERRAYTER,STF-00034,BR-003,229,2.274,25.518
ANDERRAYTER,STF-00033,BR-002,210,2.064,25.649
ANDERRAYTER,STF-00044,BR-005,219,1.978,24.79
ANDERRAYTER,STF-00045,BR-005,225,1.831,23.403
ANDERRAYTER,STF-00032,BR-002,205,1.824,23.751
ANDERRAYTER,STF-00039,BR-004,229,1.811,25.653
ANDERRAYTER,STF-00038,BR-004,201,1.808,29.748
ANDERRAYTER,STF-00027,BR-001,214,1.73,24.239
ANDERRAYTER,STF-00030,BR-002,241,1.656,26.733
ANDERRAYTER,STF-00041,BR-004,228,1.486,26.259
ANDERRAYTER,STF-00042,BR-005,207,1.441,27.173
ANDERRAYTER,STF-00031,BR-002,207,1.43,24.907
ANDERRAYTER,STF-00036,BR-003,215,1.346,26.456
ANDERRAYTER,STF-00026,BR-001,231,1.309,25.597
ANDERRAYTER,STF-00037,BR-003,200,1.301,24.418
ANDERRAYTER,STF-00035,BR-003,218,1.276,24.031
KREDIT_MUTAXASSISI,STF-00005,BR-001,188,.506,9.918
KREDIT_MUTAXASSISI,STF-00013,BR-003,223,.463,9.112
KREDIT_MUTAXASSISI,STF-00007,BR-002,186,.419,9.65
KREDIT_MUTAXASSISI,STF-00021,BR-005,193,.375,9.373
KREDIT_MUTAXASSISI,STF-00010,BR-002,201,.367,9.238
KREDIT_MUTAXASSISI,STF-00017,BR-004,198,.362,8.269
KREDIT_MUTAXASSISI,STF-00022,BR-005,217,.344,9.486
KREDIT_MUTAXASSISI,STF-00020,BR-004,215,.319,10.211
KREDIT_MUTAXASSISI,STF-00004,BR-001,206,.314,9.331
KREDIT_MUTAXASSISI,STF-00009,BR-002,205,.306,9.584
KREDIT_MUTAXASSISI,STF-00014,BR-003,214,.296,7.833
KREDIT_MUTAXASSISI,STF-00002,BR-001,210,.275,8.036
KREDIT_MUTAXASSISI,STF-00006,BR-002,181,.268,10.789
KREDIT_MUTAXASSISI,STF-00016,BR-004,198,.259,7.837
KREDIT_MUTAXASSISI,STF-00011,BR-003,183,.254,9.572
KREDIT_MUTAXASSISI,STF-00003,BR-001,212,.233,9.875
KREDIT_MUTAXASSISI,STF-00025,BR-005,203,.233,8.224
KREDIT_MUTAXASSISI,STF-00008,BR-002,215,.231,11.677
KREDIT_MUTAXASSISI,STF-00001,BR-001,190,.227,8.781
KREDIT_MUTAXASSISI,STF-00015,BR-003,187,.225,9.742
KREDIT_MUTAXASSISI,STF-00012,BR-003,195,.205,8.931
KREDIT_MUTAXASSISI,STF-00023,BR-005,192,.202,10.318
KREDIT_MUTAXASSISI,STF-00024,BR-005,201,.199,11.19
KREDIT_MUTAXASSISI,STF-00019,BR-004,206,.19,10.509
KREDIT_MUTAXASSISI,STF-00018,BR-004,181,.178,10.856
OPERATSION_XODIM,STF-00085,BR-003,142,.792,15.208
OPERATSION_XODIM,STF-00091,BR-005,152,.738,14.424
OPERATSION_XODIM,STF-00092,BR-005,168,.732,14.226
OPERATSION_XODIM,STF-00080,BR-002,194,.715,15.323
OPERATSION_XODIM,STF-00094,BR-005,139,.693,15.741
OPERATSION_XODIM,STF-00078,BR-002,141,.609,15.641
OPERATSION_XODIM,STF-00072,BR-001,131,.579,11.219
OPERATSION_XODIM,STF-00095,BR-005,135,.555,15.269
OPERATSION_XODIM,STF-00087,BR-004,151,.552,16.379
OPERATSION_XODIM,STF-00082,BR-003,162,.54,16.071
OPERATSION_XODIM,STF-00090,BR-004,144,.494,15.515
OPERATSION_XODIM,STF-00084,BR-003,150,.448,15.799
OPERATSION_XODIM,STF-00083,BR-003,155,.432,15.04
OPERATSION_XODIM,STF-00093,BR-005,154,.431,14.758
OPERATSION_XODIM,STF-00079,BR-002,133,.413,17.094
OPERATSION_XODIM,STF-00077,BR-002,150,.411,14.412
OPERATSION_XODIM,STF-00081,BR-003,141,.377,16.279
OPERATSION_XODIM,STF-00086,BR-004,161,.348,16.424
OPERATSION_XODIM,STF-00088,BR-004,156,.335,15.526
OPERATSION_XODIM,STF-00076,BR-002,135,.331,13.176
OPERATSION_XODIM,STF-00089,BR-004,154,.312,14.827
OPERATSION_XODIM,STF-00073,BR-001,160,.307,15.041
OPERATSION_XODIM,STF-00071,BR-001,139,.3,16.307
OPERATSION_XODIM,STF-00075,BR-001,182,.278,14.977
OPERATSION_XODIM,STF-00074,BR-001,151,.264,13.978
QOMITA_AZOSI,STF-00067,BR-005,108,.433,0
QOMITA_AZOSI,STF-00062,BR-004,106,.428,0
QOMITA_AZOSI,STF-00057,BR-003,124,.417,0
QOMITA_AZOSI,STF-00056,BR-003,107,.416,0
QOMITA_AZOSI,STF-00055,BR-002,128,.413,0
QOMITA_AZOSI,STF-00054,BR-002,108,.408,0
QOMITA_AZOSI,STF-00059,BR-003,106,.408,0
QOMITA_AZOSI,STF-00051,BR-002,101,.407,0
QOMITA_AZOSI,STF-00066,BR-005,115,.403,0
QOMITA_AZOSI,STF-00068,BR-005,117,.403,0
QOMITA_AZOSI,STF-00065,BR-004,106,.402,0
QOMITA_AZOSI,STF-00047,BR-001,110,.402,0
QOMITA_AZOSI,STF-00061,BR-004,117,.401,0
QOMITA_AZOSI,STF-00048,BR-001,122,.399,0
QOMITA_AZOSI,STF-00046,BR-001,111,.396,0
QOMITA_AZOSI,STF-00060,BR-003,97,.394,0
QOMITA_AZOSI,STF-00050,BR-001,103,.392,0
QOMITA_AZOSI,STF-00049,BR-001,116,.391,0
QOMITA_AZOSI,STF-00063,BR-004,113,.389,0
QOMITA_AZOSI,STF-00058,BR-003,116,.388,0
QOMITA_AZOSI,STF-00052,BR-002,105,.383,0
QOMITA_AZOSI,STF-00053,BR-002,108,.383,0
QOMITA_AZOSI,STF-00070,BR-005,114,.382,0
QOMITA_AZOSI,STF-00069,BR-005,107,.365,0
QOMITA_AZOSI,STF-00064,BR-004,106,.351,0
