run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
CDC-C2N0OFF-r1-20260909111317,CDC,C2N0OFF,1,none,24861,0,0,24861,0,0,1000000.0,,0.0,0.0,,,,,24861,0,1332.642307,11588.1097916,8287,46.035009738819,111138756,312348,24880,595721,3851,564720429,4470.4
CDC-C2N0ON-r1-20260909112343,CDC,C2N0ON,1,none,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,3380,5492,6061,6397,27003,0,7.022735,10.727358479999996,9001,50.00205001433326,110763368,319488,27183,613237,3361,22239385,4101.9
CDC-C2N1OFF-r1-20260909112934,CDC,C2N1OFF,1,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,6.559694399999996,50.5436907199999,9001,50.003014515698034,1030542372,903822,28178,1849822,2837,35306363,38164.0
CDC-C2N1ON-r1-20260909113930,CDC,C2N1ON,1,none,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,3660,5835,6708,7178,27000,0,14.777733649999998,76.84966370999989,9000,49.99980812406966,666369844,671258,27872,1357173,3237,57161705,24680.4
CDC-C2N2OFF-r1-20260909114454,CDC,C2N2OFF,1,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,20.449329299999988,126.75570513999986,9001,50.001907689992045,1955562968,1492575,29354,3101627,3270,72267133,72420.2
CDC-C2N2ON-r1-20260909115522,CDC,C2N2ON,1,none,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,3753,5957,6642,7387,27003,0,51.53293679999997,186.97707797999976,9001,50.002176527915445,1217250260,1020246,28557,2100537,3870,113937018,45078.3
CDC-C2N3OFF-r1-20260909124235,CDC,C2N3OFF,1,none,27000,0,0,27000,0,0,1000000.0,,0.0,0.0,,,,,27000,0,149.53904379999992,326.92603015,9000,49.972618123004715,3747368456,2627245,31628,5518745,4123,276397081,138791.4
CDC-C2N3ON-r1-20260909125311,CDC,C2N3ON,1,none,26742,0,0,26742,0,0,1000000.0,,0.0,0.0,,,,,26742,0,330.4972767999998,1350.1046936000007,8914,49.465724845932804,3503045492,2480702,31062,5212639,4900,377052399,130994.1
CDC-C2N4OFF-r1-20260909130355,CDC,C2N4OFF,1,none,26514,0,0,26514,0,0,1000000.0,,0.0,0.0,,,,,26514,0,1812.7834593999999,2786.3009425799987,8838,49.099641498422045,6614697924,4441771,34787,9390161,4769,989568039,249479.4
CDC-C2N4ON-r1-20260909131422,CDC,C2N4ON,1,none,26514,26514,26514,0,0,0,0.0,113.15,0.0,0.0,9029,15720,17820,19697,26514,0,1716.2716799999998,2694.8740194799957,8838,49.03759914536892,3985990636,2765377,31527,5824197,8681,1046831184,150335.3
CDC-C2N0OFF-r2-20260909131939,CDC,C2N0OFF,2,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,5.91932,19.373863979999985,9001,50.002526833335104,111619172,319588,27020,616323,2574,27796515,4133.6
CDC-C2N0ON-r2-20260909133013,CDC,C2N0ON,2,none,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,3226,5469,6069,6597,27000,0,5.920765949999999,9.169791479999986,9000,49.9997227640372,106942772,317840,27164,604738,2436,20172082,3960.8
CDC-C2N1OFF-r2-20260909133542,CDC,C2N1OFF,2,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,7.342681999999986,49.87567753999978,9001,50.00288187257127,1040425528,915853,28199,1877187,2767,37246246,38530.0
CDC-C2N1ON-r2-20260909134546,CDC,C2N1ON,2,none,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,3731,5830,6587,7664,27000,0,12.271568049999967,71.99340715999993,9000,49.9995984732245,662311280,670495,27863,1354304,3381,52506839,24530.0
CDC-C2N2OFF-r2-20260909135058,CDC,C2N2OFF,2,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,28.90036999999992,131.31036941999977,9001,50.00316448173494,1959239940,1493534,29364,3113017,3235,87955259,72556.4
CDC-C2N2ON-r2-20260909140056,CDC,C2N2ON,2,none,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,3752,5868,6436,7257,27003,0,33.32750989999998,158.10510501999963,9001,49.98900846363685,1214334932,1022374,28561,2103816,3948,98140816,44970.4
CDC-C2N3OFF-r2-20260909140603,CDC,C2N3OFF,2,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,126.7512023,283.41907049999986,9001,50.00226576537335,3817227608,2672110,31724,5621040,3904,252587682,141363.1
CDC-C2N3ON-r2-20260909141602,CDC,C2N3ON,2,none,26949,26949,26949,0,0,0,0.0,111.32,0.0,0.0,4055,6359,7345,9298,26949,0,140.74163959999976,913.6483495200098,8983,49.13574153513034,2328614208,1725830,29905,3602090,5449,285871195,86408.2
CDC-C2N4OFF-r2-20260909142135,CDC,C2N4OFF,2,none,26451,0,0,26451,0,0,1000000.0,,0.0,0.0,,,,,26451,0,1731.1896415,3293.3352885000004,8817,48.86770712219745,6627768776,4448318,34742,9405230,5358,826081991,250567.8
CDC-C2N4ON-r2-20260909143213,CDC,C2N4ON,2,none,26532,26532,26532,0,0,0,0.0,113.07,0.0,0.0,9910,36310,40837,42241,26532,0,1793.8932072499993,2946.265527249997,8844,49.04063191917637,4046445744,2807282,31638,5910501,7974,989576194,152511.9
CDC-C2N0OFF-r3-20260909143732,CDC,C2N0OFF,3,none,27000,0,0,27000,0,0,1000000.0,,0.0,0.0,,,,,27000,0,8.155463799999998,23.334807949999995,9000,49.99973407335879,111635764,319340,27017,616045,2885,37380850,4134.7
