run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
WRAPPER_B3-P1-r1-20260902185420,WRAPPER_B3,P1,1,none,17958,17958,17958,0,0,0,0.0,167.06,0.0,0.0,136,284,1536,3150,17958,0,8.392284549999985,158.19288026000038,5986,90.90819493335145,145636268,432937,18213,715398,1851,11434689,8109.8
BASELINE_GT-P1-r1-20260902185715,BASELINE_GT,P1,1,none,18003,0,0,18003,,0,,,,,,,,,18003,0,5.042230699999998,23.662618399999836,6001,91.14000273318828,72439916,211556,18016,403260,1086,8490608,4023.8
AQ-P1-r90-20260903163706,AQ,P1,90,none,1446,1446,1446,0,0,0,0.0,2074.69,0.0,0.0,12,2187,4903,5774,3279,0.5590118938700823,8467.105831899968,19637.64021541998,401,6.087640780800316,26113056,59916,1968,107166,11719,16654627,18058.8
AQ-P1-r91-20260903164431,AQ,P1,91,none,9003,9003,9003,0,0,0,0.0,333.22,0.0,0.0,7,16,1149,2945,9003,0,8.459028099999998,37.60136781999973,3001,45.55716939381516,90226644,229066,12366,414795,1583,10089487,10021.8
BASELINE_GT-P1-r91-20260903164709,BASELINE_GT,P1,91,none,9000,0,0,9000,,0,,,,,,,,,9000,0,6.601384099999991,18.218384010000136,3000,47.67062625448874,38123428,108586,9008,205386,698,6655416,4235.9
WRAPPER_B3-P1-r91-20260903164920,WRAPPER_B3,P1,91,none,9000,9000,9000,0,0,0,0.0,333.33,0.0,0.0,125,229,1368,3156,9000,0,9.838306299999998,166.45900302000058,3000,45.54680744165408,73421820,217130,9265,358973,1018,7020248,8158.0
OFF-P1-r91-20260903165132,OFF,P1,91,none,0,0,0,0,,0,,,,,,,,,9003,0,7.288569299999998,42.25201005999928,3001,45.555622573460965,23561872,73866,9003,137885,428,10118575,
CDC-P1-r91-20260903172916,CDC,P1,91,none,9003,3004,9003,6002,3,0,666666.67,,1.99700399,0.00033311,4164,7604,8698,8998,9003,0,6.8036819,40.19588741999947,3001,45.55550098910934,40868456,114879,9295,215616,1896,7114296,4539.4
CDC-P1-r91-20260903174106,CDC,P1,91,none,9003,9003,9003,0,0,0,0.0,333.22,0.0,0.0,2613,5734,6945,7545,9003,0,6.784588299999999,33.643003939999886,3001,47.68121195922921,35090328,105628,9072,200683,1062,6685442,3897.6
HYBRID-P1-r91-20260903174444,HYBRID,P1,91,none,9000,9000,9000,0,0,0,0.0,333.33,0.0,0.0,-1,2,7,2934,9000,0,11.57712964999999,280.51876694000117,3000,45.54897054434231,64007812,180332,9065,285891,1369,8498937,7112.0
HYBRID-P1-r91-20260903174840,HYBRID,P1,91,none,9000,9000,9000,0,0,0,0.0,333.33,0.0,0.0,3360,6603,7510,7862,9000,0,9.443162399999993,193.01102915000013,3000,45.548189266009224,80263724,203624,9098,326286,1656,6663475,8918.2
WRAPPER_B1-P1-r92-20260903181557,WRAPPER_B1,P1,92,none,9000,9000,9000,0,0,0,0.0,333.33,0.0,0.0,0,1,1,830,9000,0,7.285770449999996,360.6975817900001,3000,45.54645404303542,34395220,106272,9000,201112,676,6749374,3821.7
WRAPPER_B2-P1-r92-20260903181829,WRAPPER_B2,P1,92,none,8568,8568,8568,0,0,0,0.0,350.14,0.0,0.0,2,9,182,6083,8568,0,230.6687092499995,7997.102606539998,2856,43.35731104919061,36369944,101332,8581,193576,952,245754546,4244.9
