run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
CDC-C2N0OFF-r1-20260909095136,CDC,C2N0OFF,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,5596,31,0,12,47,1165,
CDC-C2N0ON-r1-20260909095308,CDC,C2N0ON,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,39020,128,23,256,91,36211,
CDC-C2N1OFF-r1-20260909095549,CDC,C2N1OFF,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,37902092,33152,66,68445,79,6331,
CDC-C2N1ON-r1-20260909095715,CDC,C2N1ON,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,40045884,35049,96,72267,165,210225,
CDC-C2N2OFF-r1-20260909095952,CDC,C2N2OFF,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,92653112,95134,2456,191522,2458,1632,
CDC-C2N2ON-r1-20260909100123,CDC,C2N2ON,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,75970344,66477,157,137109,238,39458,
CDC-C2N3OFF-r1-20260909100411,CDC,C2N3OFF,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,145017436,126580,252,261315,89,2379,
CDC-C2N3ON-r1-20260909100530,CDC,C2N3ON,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,151999840,132693,289,273918,503,43249,
CDC-C2N4OFF-r1-20260909100756,CDC,C2N4OFF,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,310765000,271324,540,560075,180,29983,
CDC-C2N4ON-r1-20260909100919,CDC,C2N4ON,1,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,317551700,276908,578,571932,1010,132359,
CDC-C2N0OFF-r2-20260909101148,CDC,C2N0OFF,2,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,16812,53,1,45,63,2184,
CDC-C2N0ON-r2-20260909101314,CDC,C2N0ON,2,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,1791212,4287,30,8523,305,29844,
CDC-C2N1OFF-r2-20260909101519,CDC,C2N1OFF,2,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,36247452,31603,63,65275,32,13049,
CDC-C2N1ON-r2-20260909101641,CDC,C2N1ON,2,none,0,0,0,0,0,0,0.0,,0.0,0.0,,,,,,,,,,,36267316,31637,85,65346,91,31217,
