run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
BASELINE_GT-P1-r1-20260904103143,BASELINE_GT,P1,1,none,27165,0,0,27165,,0,,,,,,,,,18003,0,4.633939,6.573643679999999,6001,46.58987047826721,100923116,302732,26543,582347,1760,17531124,3715.2
AQ-P1-r1-20260904103516,AQ,P1,1,none,17634,17634,17634,0,0,0,0.0,170.13,0.0,0.0,8,274,1405,4697,17634,0,140.46117294999985,2372.42166161,5878,44.621125962628874,183062512,461617,23758,840151,3572,223928995,10381.2
WRAPPER_B1-P1-r1-20260904103915,WRAPPER_B1,P1,1,none,17514,17514,17514,0,0,0,0.0,171.29,0.0,0.0,0,1,1,4396,17514,0,9.20699065,434.19434644999683,5838,45.32293439173357,72351068,208930,17527,396167,1611,172006822,4131.0
WRAPPER_B2-P1-r1-20260904104254,WRAPPER_B2,P1,1,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,1,3,9,2933,18003,0,7.2152252999999975,278.06984899999935,6001,45.55139450459895,69344488,212579,18009,404553,1285,46734028,3851.8
WRAPPER_B3-P1-r1-20260904104632,WRAPPER_B3,P1,1,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,128,232,1304,3175,18003,0,7.041025599999997,45.68035451999937,6001,45.55211673467659,146695208,435651,18533,719229,2155,13121422,8148.4
CDC-P1-r1-20260904105015,CDC,P1,1,none,18000,18000,18000,0,0,0,0.0,166.67,0.0,0.0,3404,7297,8584,9184,18000,0,5.085876149999998,10.01316265999995,6000,45.54756695032824,69958924,210174,18104,400031,1545,12691110,3886.6
HYBRID-P1-r1-20260904105424,HYBRID,P1,1,none,17991,17991,17991,0,0,0,0.0,166.75,0.0,0.0,3303,6805,8297,8840,17991,0,8.520076,163.08335089999207,5997,46.55674838515369,150144928,388661,18109,617982,2410,12746976,8345.6
OFF-P1-r1-20260904105910,OFF,P1,1,none,0,0,0,0,,0,,,,,,,,,17817,0,6.955153200000001,278.70908948000005,5939,45.08495865644685,88833076,233092,18008,424518,1832,73610449,
AQ-P1-r2-20260904110300,AQ,P1,2,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,8,149,1459,3112,18003,0,51.03085439999977,317.7876455799995,6001,45.551903811620896,185314828,470442,24559,852718,3577,105625629,10293.6
WRAPPER_B1-P1-r2-20260904110645,WRAPPER_B1,P1,2,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,0,1,1,3946,18003,0,6.3364055,101.12363529999983,6001,45.55320441573624,68383728,210277,18003,399971,1344,13175975,3798.5
WRAPPER_B2-P1-r2-20260904111019,WRAPPER_B2,P1,2,none,17997,17997,17997,0,0,0,0.0,166.69,0.0,0.0,1,2,8,1023,17997,0,6.6490838000000005,130.21063536000196,5999,46.572395087191516,70622408,211385,18007,402247,1329,13279162,3924.1
WRAPPER_B3-P1-r2-20260904111354,WRAPPER_B3,P1,2,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,129,233,1161,3172,18003,0,7.587192199999998,69.21819351999977,6001,46.58779520931203,149332984,444002,18539,733795,2193,12632355,8294.9
CDC-P1-r2-20260904111752,CDC,P1,2,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,3362,6007,7974,8471,18003,0,5.449161899999996,10.952123679999994,6001,45.55280711382722,70229904,211121,18109,401261,1763,13202100,3901.0
HYBRID-P1-r2-20260904112221,HYBRID,P1,2,none,18000,18000,18000,0,0,0,0.0,166.67,0.0,0.0,3028,6558,8256,8900,18000,0,8.134716649999998,66.44742124999934,6000,45.547635415402766,127671936,360912,18096,571692,2149,15177454,7092.9
OFF-P1-r2-20260904112636,OFF,P1,2,none,0,0,0,0,,0,,,,,,,,,18000,0,4.8757749,8.859415409999956,6000,45.53938404951197,50037224,151463,18010,290890,877,12116331,
BASELINE_GT-P1-r2-20260904113012,BASELINE_GT,P1,2,none,18003,0,0,18003,,0,,,,,,,,,18003,0,5.422798899999999,8.950888839999996,6001,45.55272162442379,69816736,213620,18008,406314,1198,12222568,3878.1
WRAPPER_B1-P1-r3-20260904113343,WRAPPER_B1,P1,3,none,18000,18000,18000,0,0,0,0.0,166.67,0.0,0.0,0,1,1,2932,18000,0,5.080164,46.55829795999888,6000,45.54820695645045,68516724,211189,18000,400862,1015,12223608,3806.5
WRAPPER_B2-P1-r3-20260904113714,WRAPPER_B2,P1,3,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,1,2,6,2932,18003,0,5.263695999999997,69.68743887999996,6001,45.55338761746961,68404024,210286,18003,399935,1040,12455030,3799.6
WRAPPER_B3-P1-r3-20260904114045,WRAPPER_B3,P1,3,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,126,227,1279,3164,18003,0,6.3992513999999945,53.144856659999206,6001,45.55257066111397,154429096,449278,18575,753809,2195,12158116,8578.0
CDC-P1-r3-20260904114417,CDC,P1,3,none,18000,18000,18000,0,0,0,0.0,166.67,0.0,0.0,3147,6761,8326,8926,18000,0,4.430140849999998,7.268655319999972,6000,46.585336600994836,70018908,210774,18102,400596,1203,11416836,3889.9
HYBRID-P1-r3-20260904114823,HYBRID,P1,3,none,18003,18003,18003,0,0,0,0.0,166.64,0.0,0.0,3188,5759,7380,8445,18003,0,6.218185399999998,19.05347845999983,6001,45.552580947088046,128326668,362499,18107,574708,1694,11893722,7128.1
OFF-P1-r3-20260904115227,OFF,P1,3,none,0,0,0,0,,0,,,,,,,,,18003,0,4.1120451,6.730095519999993,6001,45.5537610385236,47017264,148142,18003,276106,653,11404148,
BASELINE_GT-P1-r3-20260904115559,BASELINE_GT,P1,3,none,18000,0,0,18000,,0,,,,,,,,,18000,0,4.605198199999999,8.040217339999998,6000,45.548518393728486,77377200,221285,18016,425566,1063,11291622,4298.7
